Dept_Name,Position_ID*,Position_Name,Hourly_Base_Wage,Standard_Hours_per_Year,Allocation,Fund,Commissioner_Vehicle_Allowance,Health_Plan,Coverage,Pension_Plan,Risk_Code,Weekend_Pay
00104000,513,Customer Service Specialist,$31.59,2080,100.00%,001,$0,FB3,EE,7210,8810,$0
00104000,514,Deputy Director of Planning & Development,$54.09,2080,100.00%,001,$0,FB3,EE,7225,8810,$0
00104000,515,Development Order Inspector - Planning,$43.87,2080,100.00%,001,$0,FB2,EE,7210,8810,$0
00104000,516,Development Order Inspector - Planning,$41.95,2080,100.00%,001,$0,FB2,FAM,7205,8810,$0
00104000,517,Development Order Inspector - Planning,$36.63,2080,100.00%,001,$0,FB2,FAM,7210,8810,$0
00104000,518,Director of Planning & Development,$66.64,2080,100.00%,001,$0,FB1,FAM,7210,8810,$0
00104000,519,Environmental Planner,$36.63,2080,100.00%,001,$0,FB3,FAM,7225,8810,$0
00104000,520,Executive Assistant,$25.49,2080,100.00%,001,$0,FB4,FAM,7210,8810,$0
00104000,521,Financial Planning Coordinator,$38.92,2080,100.00%,001,$0,FB3,FAM,7210,8810,$0
00104000,522,Floodplain Program Manager,$41.63,2080,100.00%,001,$0,FB2,FAM,7210,8810,$0
00104000,523,Geospatial Analysis Planner,$37.81,2080,100.00%,001,$0,FB3,EE,7210,8810,$0
00104000,524,Land Use Attorney,$58.31,2080,75.00%,001,$0,FB3,FAM,7200,8820,$0
00102030,525,Land Use Attorney,$58.31,2080,25.00%,001,$0,FB3,FAM,7200,8820,$0
00104000,526,Livability & Tourism Technician I,$22.13,2080,100.00%,001,$0,FB2,EE,7210,8810,$0
00104000,,Livability & Tourism Technician I,$22.13,2080,100.00%,001,$0,FB1,EE,7220,8810,$0
00104000,527,Livability & Tourism Technician I,$23.31,2080,100.00%,001,$0,FB2,EE,7210,8810,$0
00104000,528,Planner,$32.70,2080,100.00%,001,$0,FB2,FAM,7210,8810,$0
00104000,529,Planner,$31.92,2080,100.00%,001,$0,FB2,EE,7210,8810,$0
00104000,530,Planning Assistant,$19.84,2080,100.00%,001,$0,FB3,FAM,7245,8810,$0
00104000,531,Planning Assistant,$21.27,2080,100.00%,001,$0,FB3,EE,7225,8810,$0
00104000,532,Planning Assistant,$21.27,2080,100.00%,001,$0,FB2,EE,7210,8810,$0
00104000,533,Planning Coordinator,$32.75,2080,100.00%,001,$0,FB3,EE,7210,8810,$0
00104000,534,Office Manager,$32.46,2080,100.00%,001,$0,FB3,FAM,7210,8810,$0
00104000,535,Planning Support Specialist,$26.05,2080,100.00%,001,$0,FB3,FAM,7225,8810,$0
00104000,536,Planning Assistant,$18.51,2080,100.00%,001,$0,FB6,FAM,7210,8810,$0
00104000,537,Planning Technician,$22.51,2080,100.00%,001,$0,FB1,EE,7210,8810,$0
00104000,538,Planning Technician,$23.72,2080,100.00%,001,$0,FB3,FAM,7210,8810,$0
00104000,,Planning Technician,$23.72,2080,100.00%,001,$0,FB1,EE,7210,8810,$0
00104000,539,Planning Technician,$23.72,2080,100.00%,001,$0,FB1,EE,7210,8810,$0
00104000,540,Livability & Tourism Coordinator,$26.97,2080,100.00%,001,$0,FB2,EE,7210,8810,$0
00104000,541,Planning Technician,$22.13,2080,100.00%,001,$0,FB2,EE,7210,8810,$0
00104000,542,Planning Technician,$23.31,2080,100.00%,001,$0,FB3,EE,7225,8810,$0
00104000,543,Plans Review Coordinator,$28.02,2080,100.00%,001,$0,FB2,EE,7210,8810,$0
00104000,544,Records Technician,$26.68,2080,100.00%,001,$0,FB2,FAM,7225,8810,$0
00104000,545,Senior Planner,$47.65,2080,100.00%,001,$0,FB3,FAM,7210,8810,$0
00104000,546,Senior Planner,$50.31,2080,100.00%,001,$0,FB2,EE,7205,8810,$0
00104000,547,Senior Planner,$36.27,2080,100.00%,001,$0,FB3,EE,7210,8810,$0
00104000,548,Senior Planner,$42.78,2080,100.00%,001,$0,FB3,FAM,7225,8810,$0
00104000,549,Short Term Rentals Manager,$40.89,2080,100.00%,001,$0,FB2,FAM,7225,8810,$0
00104000,550,Planner,$31.40,2080,100.00%,001,$0,FB3,FAM,7245,8810,$0
00104000,551,Senior Planner,$42.91,2080,100.00%,001,$0,FB3,FAM,7210,8810,$0
00104000,552,Livability & Tourism Technician I,$22.51,2080,100.00%,001,$0,FB1,EE,7225,8810,$0
00109000,553,Probation Officer II,$27.62,2080,100.00%,001,$0,FB2,EE,7210,7720,$0
00109000,554,Probation Manager,$33.52,2080,100.00%,001,$0,FB2,FAM,7210,8810,$0
00109000,555,Probation Assistant,$19.16,2080,100.00%,001,$0,FB2,EE,7225,8810,$0
00107020,556,Procurement Analyst,$25.42,2080,100.00%,001,$0,FB2,EE,7225,8810,$0
00107020,557,Buyer,$32.13,2080,100.00%,001,$0,FB2,EE,7210,8810,$0
00107020,558,Fixed Asset & Inventory Coordinator,$32.13,2080,100.00%,001,$0,FB3,EE,7210,8810,$0
00107020,559,Procurement Analyst,$27.25,2080,100.00%,001,$0,FB2,EE,7210,8810,$0
00107020,560,Buyer,$21.57,2080,100.00%,001,$0,FB3,EE,7210,8810,$0
00107020,561,Procurement Manager,$38.46,2080,100.00%,001,$0,FB2,EE,7225,8810,$0
00107020,562,Director of Procurement,$53.03,2080,100.00%,001,$0,FB7,FAM,7210,8810,$0
00107020,563,Procurement Coordinator,$21.57,2080,100.00%,001,$0,FB1,EE,7225,8810,$0
00107020,564,Logistics Coordinator,$19.00,2080,100.00%,001,$0,FB1,EE,7225,7380,$0
00107020,565,Contracts Coordinator,$31.25,2080,100.00%,001,$0,FB1,EE,7210,8810,$0
10116001,566,Heavy Equipment Operator,$22.19,2080,100.00%,101,$0,FB3,FAM,7210,5509,$100
10116001,567,Heavy Equipment Operator,$22.97,2080,100.00%,101,$0,FB3,EE,7225,5509,$100
10116001,568,Assistant Road Foreman,$27.06,2080,100.00%,101,$0,FB2,EE,7225,5509,$100
10116001,569,Heavy Equipment Operator,$21.81,2080,100.00%,101,$0,FB2,FAM,7225,5509,$100
10116001,570,General Equipment Operator,$19.91,2080,100.00%,101,$0,FB2,EE,7205,5509,$100
00112000,571,Director of Parks & Recreation,$49.11,2080,100.00%,001,$0,FB3,EE,7210,8810,$0
00112000,572,Recreation Program Coordinator,$22.40,2080,100.00%,001,$0,FB3,EE,7200,8810,$250
00112000,573,Recreation Program Coordinator,$27.11,2080,100.00%,001,$0,FB1,FAM,7210,8810,$250
00112000,574,Administrative Assistant,$23.52,2080,100.00%,001,$0,FB2,EE,7225,8810,$0
00112000,575,Administrative Assistant,$25.65,2080,100.00%,001,$0,FB3,EE,7210,8810,$0
00112000,576,Assistant Recreation Coordinator,$17.34,2080,100.00%,001,$0,FB5,FAM,7225,8810,$250
00114000,577,Office Manager,$28.47,2080,100.00%,001,$0,FB3,EE,7210,8810,$0
00104000,578,Code Compliance Officer - STR,$25.25,2080,100.00%,001,$0,FB1,EE,7225,9410,"$1,000"
11242000,579,Solid Waste General Equipment Operator,$24.70,2080,100.00%,112,$0,FB3,EE,7200,6217,$250
11242000,580,Solid Waste Heavy Equipment Operator,$23.31,2080,100.00%,112,$0,FB3,EE,7210,6217,$250
11242000,581,Solid Waste Technician,$21.20,2080,100.00%,112,$0,FB2,EE,7210,6217,$250
11242000,582,Solid Waste Scale Operator,$23.86,2080,100.00%,112,$0,FB3,EE,7210,8810,$250
11242000,583,Solid Waste Senior Equipment Operator,$26.22,2080,100.00%,112,$0,FB3,EE,7210,6217,$250
11242000,584,Recycling Technician,$19.10,2080,100.00%,112,$0,FB2,EE,7245,6217,$250
11242000,585,Recycling Technician,$22.51,2080,100.00%,112,$0,FB2,EE,7210,6217,$250
11242000,586,Solid Waste Heavy Equipment Operator,$23.31,2080,100.00%,112,$0,FB2,EE,7210,6217,$250
11242000,587,Solid Waste General Equipment Operator,$22.65,2080,100.00%,112,$0,FB2,EE,7210,6217,$250
11242000,588,Solid Waste Senior Equipment Operator,$31.19,2080,100.00%,112,$0,FB3,EE,7210,6217,$250
11242000,589,Solid Waste Heavy Equipment Operator,$26.78,2080,100.00%,112,$0,FB3,EE,7210,6217,$250
11242000,590,Solid Waste Heavy Equipment Operator & Technician,$28.10,2080,100.00%,112,$0,FB3,EE,7225,6217,$250
11242000,591,Solid Waste General Equipment Operator,$21.50,2080,100.00%,112,$0,FB2,FAM,7225,6217,$250
11242000,592,Solid Waste Heavy Equipment Operator,$23.31,2080,100.00%,112,$0,FB1,FAM,7210,6217,$250
11242000,593,Office Manager,$31.68,2080,100.00%,112,$0,FB3,EE,7210,8810,$0
11242000,594,Solid Waste Heavy Equipment Operator,$28.21,2080,100.00%,112,$0,FB2,EE,7210,6217,$250
11242000,595,Solid Waste Office Clerk,$22.33,2080,100.00%,112,$0,FB2,FAM,7200,8810,$250
11242000,596,Solid Waste Operations Manager,$46.16,2080,100.00%,112,$0,FB2,FAM,7210,8810,$250
11242000,597,Solid Waste Foreman,$31.30,2080,100.00%,112,$0,FB3,FAM,7210,6217,$250
11242000,598,Administrative Assistant,$23.12,2080,100.00%,112,$0,FB3,EE,7225,8810,$0
11242000,599,Solid Waste Heavy Equipment Operator,$22.51,2080,100.00%,112,$0,FB3,EE,7210,6217,$250
11242000,600,Solid Waste General Equipment Operator,$20.41,2080,100.00%,112,$0,FB2,EE,7225,6217,$250
11242000,601,Solid Waste Scale Operator,$28.38,2080,100.00%,112,$0,FB4,FAM,7210,8810,$250
11141060,602,Deputy Director of Tourism - Marketing,$50.12,2080,100.00%,111,$0,FB1,FAM,7225,8810,$0
11141040,603,Industry Relations Specialist,$32.08,2080,100.00%,111,$0,FB3,FAM,7225,8810,$0
11141030,604,Visitor Information Manager,$39.65,2080,100.00%,111,$0,FB2,FAM,7210,8810,"$1,000"
11141030,605,Sales Manager,$39.05,2080,100.00%,111,$0,FB2,EE,7210,8810,$0
11141030,606,Lead Visitor Information Specialist,$32.13,2080,100.00%,111,$0,FB2,EE,7210,8810,"$1,000"
11141030,607,Deputy Director of Tourism - Sales,$56.95,2080,100.00%,111,$0,FB3,FAM,7225,8810,$0
11141030,608,Tourism Sales Specialist,$30.11,2080,100.00%,111,$0,FB2,FAM,7225,8810,$0
11141040,609,Deputy Director of Tourism - Communications,$44.24,2080,100.00%,111,$0,FB3,FAM,7225,8810,$0
11141030,611,Visitor Information Specialist,$17.64,2080,100.00%,111,$0,FB3,EE,7210,8810,"$1,000"
11141000,612,Tourism Administrative Specialist,$28.38,2080,100.00%,111,$0,FB2,EE,7210,8810,$0
11141000,613,Tourism Director,$60.22,2080,100.00%,111,$0,FB3,FAM,7225,8810,$0
11141000,614,Administrative Support Specialist,$28.38,2080,100.00%,111,$0,FB3,FAM,7225,8810,$0
11141040,615,Database Specialist,$22.40,2080,100.00%,111,$0,FB2,FAM,7225,8810,$250
11141060,616,Marketing Specialist,$27.16,2080,100.00%,111,$0,FB1,EE,7210,8810,$0
11141060,617,Marketing Specialist,$27.16,2080,100.00%,111,$0,FB5,FAM,7210,8810,$0
11141040,618,Content Coordinator,$30.00,2080,100.00%,111,$0,FB1,FAM,7225,8810,$250
11141030,619,Weekend Lead Information Specialist,$26.00,2080,100.00%,111,$0,FB6,FAM,7210,8810,"$1,000"
11141090,620,Beach Tram Driver,$18.19,2080,100.00%,111,$0,FB2,EE,7225,7380,$500
11141090,621,Transportation Crew Leader,$26.70,2080,100.00%,111,$0,FB2,EE,7225,7380,$500
11141090,622,Beach Tram Driver,$18.19,2080,100.00%,111,$0,FB2,EE,7225,7380,$500
11141090,,Beach Tram Driver,$18.19,2080,100.00%,111,$0,FB1,EE,7225,7380,$500
11141090,,Beach Tram Driver,$18.19,2080,100.00%,111,$0,FB1,EE,7225,7380,$500
11141090,623,Beach Tram Driver,$19.55,2080,100.00%,111,$0,,,7225,7380,$500
11141090,624,Beach Tram Driver,$18.89,2080,100.00%,111,$0,,,7225,7380,$500
11141090,625,Beach Tram Driver,$19.55,2080,100.00%,111,$0,FB1,EE,7225,7380,$500
11141090,626,Beach Tram Driver,$19.55,2080,100.00%,111,$0,FB1,EE,7225,7380,$500
11141090,627,Beach Tram Driver,$18.19,2080,100.00%,111,$0,FB1,$0,7225,7380,$500
11141090,628,Administrative Assistant,$18.23,2080,100.00%,111,$0,FB1,EE,7225,8810,$0
11141090,629,Transportation Mechanic,$21.06,2080,100.00%,111,$0,FB1,EE,7225,8380,$0
11141090,630,Beach Tram Driver,$18.19,2080,100.00%,111,$0,FB1,EE,7225,7380,$500
11141090,631,Transportation Specialist,$18.19,2080,100.00%,111,$0,FB1,EE,7225,7380,$500
11141090,632,Transportation Specialist,$18.19,2080,100.00%,111,$0,FB1,EE,7225,7380,$500
11141090,633,Beach Tram Driver,$22.02,2080,100.00%,111,$0,FB5,FAM,7225,7380,$500
11141090,634,Beach Tram Driver,$22.02,2080,100.00%,111,$0,FB2,EE,7225,7380,$500
11141090,635,Transportation Manager,$32.46,2080,100.00%,111,$0,FB3,EE,7210,8810,$0
11141090,636,Beach Tram Driver,$19.16,2080,100.00%,111,$0,FB2,FAM,7225,7380,$500
11141090,,Transportation Assistant Manager,$29.19,2080,100.00%,111,$0,FB1,EE,7210,8810,$0
11141090,,Transportation Assistant Crew Leader,$24.39,2080,100.00%,111,$0,FB1,EE,7210,8810,$0
11141090,,Transportation Assistant Crew Leader,$24.39,2080,100.00%,111,$0,FB1,EE,7210,8810,$0
11141090,,Transportation Assistant Crew Leader,$24.39,2080,100.00%,111,$0,FB1,EE,7210,8810,$0
11141090,,Transportation Assistant Crew Leader,$24.39,2080,100.00%,111,$0,FB1,EE,7210,8810,$0
11141090,637,Transportation Crew Leader,$27.16,2080,100.00%,111,$0,FB3,EE,7225,7380,$500
11141090,638,Beach Tram Driver,$18.51,2080,100.00%,111,$0,FB3,EE,7210,7380,$500
11141090,639,Beach Tram Driver,$18.19,2080,100.00%,111,$0,FB1,EE,7225,7380,$500
11141090,640,Beach Tram Driver,$18.19,2080,100.00%,111,$0,FB1,EE,7225,7380,$500
11141090,641,Beach Tram Driver,$18.19,2080,100.00%,111,$0,FB1,EE,7225,7380,$500
11141090,642,Beach Tram Driver,$18.19,2080,100.00%,111,$0,FB1,EE,7225,7380,$500
11141090,643,Beach Tram Driver,$18.19,2080,100.00%,111,$0,FB1,EE,7225,7380,$500
11141090,644,Beach Tram Driver,$18.19,2080,100.00%,111,$0,FB1,EE,7225,7380,$500
11141090,645,Beach Tram Driver,$18.19,2080,100.00%,111,$0,FB1,EE,7225,7380,$500
11141090,646,Beach Tram Driver,$18.19,2080,100.00%,111,$0,FB1,EE,7225,7380,$500
11141090,647,Beach Tram Driver,$18.19,2080,100.00%,111,$0,FB1,EE,7225,7380,$500
11141090,648,Beach Tram Driver,$18.19,2080,100.00%,111,$0,FB1,EE,7225,7380,$500
11141090,649,Beach Tram Driver,$18.19,2080,100.00%,111,$0,FB1,EE,7225,7380,$500
11141090,650,Beach Tram Driver,$18.19,2080,100.00%,111,$0,FB1,EE,7225,7380,$500
11141090,651,Beach Tram Driver,$18.19,2080,100.00%,111,$0,FB1,EE,7225,7380,$500
11141090,652,Beach Tram Driver,$18.19,2080,100.00%,111,$0,FB1,EE,7225,7380,$500
11141090,653,Beach Tram Driver,$18.19,2080,100.00%,111,$0,FB1,EE,7225,7380,$500
11141090,654,Beach Tram Driver,$18.19,2080,100.00%,111,$0,FB1,EE,7225,7380,$500
11141090,655,Beach Tram Driver,$18.19,2080,100.00%,111,$0,FB1,EE,7225,7380,$500
11141090,656,Beach Tram Driver,$18.19,2080,100.00%,111,$0,FB1,EE,7225,7380,$500
11141090,657,Beach Tram Driver,$18.19,2080,100.00%,111,$0,FB1,EE,7225,7380,$500
11141090,658,Beach Tram Driver,$18.19,2080,100.00%,111,$0,FB1,EE,7225,7380,$500
11141090,659,Beach Tram Driver,$18.19,2080,100.00%,111,$0,FB1,EE,7225,7380,$500
11141090,660,Beach Tram Driver,$18.19,2080,100.00%,111,$0,FB1,EE,7225,7380,$500
11141090,661,Beach Tram Driver,$18.19,2080,100.00%,111,$0,FB1,EE,7225,7380,$500
11141090,662,Beach Tram Driver,$18.19,2080,100.00%,111,$0,FB1,EE,7225,7380,$500
11141090,663,Beach Tram Driver,$18.19,2080,100.00%,111,$0,FB1,EE,7225,7380,$500
11141090,664,Beach Tram Driver,$18.19,2080,100.00%,111,$0,FB1,EE,7225,7380,$500
11141090,665,Beach Tram Driver,$17.62,2080,100.00%,111,$0,FB1,EE,7225,7380,$500
11141090,666,Beach Tram Driver,$17.62,2080,100.00%,111,$0,FB1,EE,7225,7380,$500
11141090,667,Beach Tram Driver,$17.62,2080,100.00%,111,$0,FB1,EE,7225,7380,$500
11141090,668,Beach Tram Driver,$17.62,2080,100.00%,111,$0,FB1,EE,7225,7380,$500
11141090,669,Beach Tram Driver,$17.62,2080,100.00%,111,$0,FB1,EE,7225,7380,$500
11141090,670,Beach Tram Driver,$17.62,2080,100.00%,111,$0,FB1,EE,7225,7380,$500
11141090,671,Beach Tram Driver,$18.19,2080,100.00%,111,$0,FB1,EE,7225,7380,$500
11141090,672,Beach Tram Driver,$18.19,2080,100.00%,111,$0,FB1,EE,7225,7380,$500
00102000,673,Tri-County Attendent,$18.70,2080,100.00%,001,$0,FB1,EE,7205,7380,$0
00110000,674,Assistant Veterans Officer,$32.60,2080,100.00%,001,$0,FB1,EE,7210,8810,$0
00110000,675,Veterans Service Officer,$44.28,2080,100.00%,001,$0,FB1,EE,7225,8810,$0
10528000,676,Mosquito Control Technician I,$20.12,2080,100.00%,105,$0,FB2,EE,7210,9402,$250
00110000,677,Administrative Assistant,$19.44,2080,100.00%,001,$0,FB3,FAM,7210,8810,$0
11141060,678,Graphic Designer,$29.19,2080,100.00%,111,$0,FB3,EE,7210,8810,$0
